465,534,569,633,650,730,758,823
427,503,548,615,639,715,739,801
478,540,574,638,659,740,779,853
478,544,577,641,660,740,774,846
459,529,565,630,648,727,753,816
430,505,548,616,640,717,743,807
481,542,575,639,659,741,780,855
478,543,576,641,660,739,773,845
454,524,562,627,645,724,749,811
433,508,551,618,644,720,749,815
482,544,577,640,660,742,780,855
476,543,576,641,659,738,772,844
457,527,564,629,647,726,751,814
431,505,549,616,641,717,745,809
482,543,576,639,660,741,780,855
477,543,576,641,659,739,773,844
452,522,561,626,645,723,748,809
435,509,553,619,644,721,751,817
483,544,577,641,661,742,781,855
476,543,576,640,659,738,771,843
455,525,563,628,646,724,750,813
432,506,550,617,642,718,747,812
483,543,576,640,661,742,780,855
477,543,576,641,659,738,772,844
450,521,560,625,644,722,746,807
437,511,553,620,645,722,753,819
484,545,578,641,661,742,781,855
476,543,576,640,659,738,771,842
444,517,556,622,641,719,741,801
441,512,553,620,645,723,755,821
484,546,578,642,662,743,782,856
477,544,577,641,659,739,772,844
448,520,559,625,643,721,744,805
440,513,554,621,646,723,755,822
484,545,578,641,661,742,781,855
476,542,576,640,658,738,771,842
442,515,555,621,640,718,741,800
442,513,554,621,646,724,756,822
484,546,578,642,661,743,781,857
477,543,577,641,659,739,772,844
446,519,558,624,642,720,743,803
441,514,555,622,647,725,757,825
484,545,578,641,662,743,781,855
475,542,575,639,658,738,770,841
439,513,554,620,639,717,739,800
449,519,559,625,650,729,763,833
481,544,577,641,660,741,778,851
475,542,576,640,659,738,771,841
445,517,556,622,641,719,742,801
444,515,556,623,648,726,759,827
484,546,578,642,661,743,780,854
474,541,575,639,658,737,770,841
438,512,553,619,639,717,739,799
451,521,560,626,651,730,765,835
483,546,578,642,661,742,778,852
472,540,574,639,657,736,768,838
432,508,551,617,639,715,738,796
458,526,564,630,654,733,770,842
482,546,578,642,661,742,777,850
470,538,573,637,656,735,766,835
427,505,548,616,638,714,737,796
466,531,568,633,656,736,774,847
480,545,578,641,660,741,776,848
469,537,572,637,656,735,766,835
431,506,550,616,639,715,737,795
461,528,565,631,655,735,772,843
481,545,577,641,660,741,777,849
469,538,572,637,655,735,765,833
428,505,548,615,638,714,737,796
468,533,569,634,657,737,775,849
480,545,577,641,660,741,776,847
469,537,572,637,656,735,766,834
430,506,549,616,638,714,736,795
463,529,567,632,656,735,773,845
481,545,578,641,660,741,776,849
469,537,572,637,655,734,764,832
428,504,548,615,638,714,737,797
470,534,570,635,658,738,777,850
480,544,577,641,660,740,775,847
466,535,570,634,652,731,760,825
432,506,549,616,639,716,740,800
466,532,568,633,657,736,774,848
481,545,578,641,660,741,776,849
468,536,572,635,654,733,763,830
428,504,548,615,638,714,738,797
472,536,571,635,658,739,777,851
479,545,577,641,660,740,775,847
465,533,569,633,651,730,758,823
432,506,549,616,639,716,741,801
468,533,569,634,659,738,776,850
480,545,578,642,660,741,776,848
467,536,571,635,654,732,761,828
428,503,547,615,639,715,738,798
473,537,572,636,659,739,778,851
479,544,577,641,660,740,775,847
463,532,568,632,650,729,757,821
428,504,548,616,639,716,741,802
473,536,571,636,659,739,778,851
480,545,578,642,661,741,776,848
466,535,570,635,652,732,760,826
427,504,547,615,639,715,739,800
476,538,573,637,658,740,778,852
479,544,577,641,660,740,775,847
462,531,566,631,649,729,756,819
429,505,548,616,640,716,742,804
480,541,574,639,659,741,780,854
478,544,577,641,660,739,773,846
456,526,564,628,646,726,751,814
432,507,550,617,642,719,748,812
482,543,576,640,660,742,781,855
477,543,576,641,659,739,773,844
450,522,560,626,644,723,746,807
437,511,553,620,645,722,753,820
483,545,577,641,661,743,781,855
475,542,576,640,659,739,771,843
454,524,562,627,646,725,750,811
433,508,550,618,643,720,750,814
483,544,577,641,660,742,781,855
476,543,576,640,659,739,772,844
448,520,559,625,643,722,745,805
440,512,554,621,646,724,755,822
483,545,578,641,661,743,781,855
475,542,575,640,659,738,771,842
452,523,561,626,645,724,748,809
435,509,552,619,644,721,751,816
483,544,577,641,661,742,781,855
476,542,576,640,659,739,772,843
447,519,558,623,642,721,744,803
442,514,555,622,647,725,757,824
484,545,578,642,661,743,780,855
474,542,575,640,658,738,770,841
450,521,560,625,644,722,746,807
437,510,553,620,645,721,752,819
483,545,577,641,661,743,781,855
476,543,576,640,659,738,772,842
445,518,557,622,641,719,743,802
444,515,556,623,648,726,759,827
484,546,578,642,662,743,780,854
474,541,575,640,658,738,770,840
449,520,559,625,644,721,745,805
439,512,554,621,646,723,754,821
484,545,577,641,662,743,781,855
475,542,576,640,659,739,771,842
443,516,556,621,640,718,741,801
446,517,557,624,649,727,761,830
485,546,579,642,662,743,780,854
474,541,575,639,658,738,770,840
436,511,552,619,640,717,739,798
448,518,558,624,648,727,760,828
485,547,579,643,662,744,782,856
475,542,576,640,659,738,771,842
440,514,555,621,640,718,741,800
448,518,559,625,650,728,763,832
485,546,578,642,662,743,780,853
473,540,575,639,658,737,769,839
434,510,552,618,640,716,739,797
455,524,563,629,653,732,768,840
483,546,579,642,661,742,778,851
471,539,574,639,657,737,768,836
431,507,550,617,639,715,737,796
463,530,567,632,656,736,773,845
481,545,578,642,661,741,776,849
469,537,573,637,655,735,765,832
428,505,548,615,638,715,737,797
